,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
10,Aditya Birla Sl Digital India Fund,100,1000,0.88,"₹3,338Cr",10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1
11,Aditya Birla Sl Dividend Yield Fund,1000,1000,1.73,₹850Cr,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10.0
12,Aditya Birla Sl Dynamic Bond Fund,1000,1000,0.64,"₹1,795Cr",10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8.0,6.0
13,Aditya Birla Sl Equity Advantage Fund,1000,1000,1.14,"₹4,836Cr",10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9
14,Aditya Birla Sl Equity Hybrid ’95 Fund,100,100,1.01,"₹7,046Cr",10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7
15,Aditya Birla Sl Equity Savings Fund,1000,1000,1.21,₹451Cr,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9
16,Aditya Birla Sl Flexi Cap Fund,100,100,0.86,"₹15,449Cr",10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25.0,10.4
17,Aditya Birla Sl Floating Rate Fund,1000,1000,0.23,"₹12,364Cr",10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8
18,Aditya Birla Sl Focused Equity Fund,1000,1000,1.06,"₹5,633Cr",10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7
19,Aditya Birla Sl Fp Fof – Aggressive – Direct Growth,100,100,0.22,₹159Cr,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7
20,Aditya Birla Sl Fp Fof – Conservative – Direct Growth,100,100,0.34,₹14Cr,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2
21,Aditya Birla Sl Fp Fof – Moderate – Direct Growth,100,100,0.36,₹28Cr,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4
22,Aditya Birla Sl Frontline Equity Fund,100,100,1.03,"₹21,131Cr",10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6
23,Aditya Birla Sl Global Emerging Oppt Fund,100,100,0.7,₹261Cr,10,Vinod Narayan Bhat,0.98,-,16.64,-,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas,-5.7,18.8,8.3
24,Aditya Birla Sl Gold Fund,100,100,0.15,₹278Cr,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2
25,Aditya Birla Sl Govt Securities Fund,1000,1000,0.29,"₹1,351Cr",10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0
26,Aditya Birla Sl Income Fund,1000,5000,0.49,"₹1,496Cr",10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7
27,Aditya Birla Sl India Gennext Fund,1000,1000,0.82,"₹3,217Cr",10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3
28,Aditya Birla Sl Infrastructure Fund,1000,1000,1.7,₹562Cr,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2
29,Aditya Birla Sl Inter Equity – Plan A-Direct Growth,1000,1000,1.75,₹108Cr,10,Vinod Narayan Bhat,1.28,-,13.99,-,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4
30,Aditya Birla Sl Inter Equity – Plan B-Direct Growth,1000,1000,0.615,₹90Cr,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6
31,Aditya Birla Sl Liquid Fund,500,500,0.21,"₹28,071Cr",10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4
32,Aditya Birla Sl Low Duration Fund,100,100,0.39,"₹10,035Cr",10,Mohit Sharma,4.76,3.33,0.97,1,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0
33,Aditya Birla Sl Manufacturing Equity Fund,1000,1000,1.56,₹613Cr,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8
34,Aditya Birla Sl Medium Term Plan – Direct Growth,1000,1000,0.86,"₹1,652Cr",10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6
35,Aditya Birla Sl Midcap Fund,1000,1000,1.2,"₹3,436Cr",10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3
36,Aditya Birla Sl Money Manager Fund,1000,1000,0.21,"₹13,095Cr",10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4
37,Aditya Birla Sl Nifty 50 Index Fund,1000,100,0.32,₹494Cr,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6
38,Aditya Birla Sl Overnight Fund,0,5000,0.07,"₹13,399Cr",4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
39,Aditya Birla Sl Pure Value Fund,1000,1000,1.12,"₹3,798Cr",10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3
40,Aditya Birla Sl Regular Savings Fund,500,500,0.92,"₹1,585Cr",10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6
41,Aditya Birla Sl Retirement-The 30S Plan-Dir Growth,500,1000,1.06,₹258Cr,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,17.9,
42,Aditya Birla Sl Retirement-The 40S Plan-Dir Growth,500,1000,1.07,₹91Cr,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15.0,
43,Aditya Birla Sl Retirement-The 50S Plan-Dir Growth,500,1000,0.63,₹27Cr,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,4.6,
44,Aditya Birla Sl Retirement-The 50Splus-Debt-Dirgrowth,500,1000,0.85,₹26Cr,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,
45,Aditya Birla Sl Savings Fund,1000,1000,0.34,"₹14,457Cr",10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5
46,Aditya Birla Sl Short Term Fund,1000,1000,0.38,"₹5,045Cr",10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6
47,Aditya Birla Sl Small Cap Fund,1000,1000,1.04,"₹2,901Cr",10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4
48,Aditya Birla Sl Tax Relief ’96 – Direct Growth,500,500,0.93,"₹12,755Cr",10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3.0,16.1,5.8
49,Axis All Seasons Debt Fund,1000,5000,0.22,₹161Cr,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,
50,Axis Arbitrage Fund,1000,500,0.31,"₹3,085Cr",9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6
51,Axis Balanced Advantage Fund,1000,500,0.7,"₹2,077Cr",6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0
52,Axis Banking & Psu Debt Fund,1000,5000,0.33,"₹13,953Cr",10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2
53,Axis Bluechip Fund,500,500,0.63,"₹33,049Cr",10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1
54,Axis Children’S Gift Fund,1000,5000,1.06,₹685Cr,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1
55,Axis Corporate Debt Fund,1000,5000,0.22,"₹3,783Cr",6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3
56,Axis Credit Risk Fund,1000,5000,0.81,₹620Cr,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8
57,Axis Dynamic Bond Fund,1000,5000,0.26,"₹1,733Cr",10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7
58,Axis Equity Hybrid Fund,1000,500,0.89,"₹1,699Cr",5,Ashish Naik,2.37,-1.88,13,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,
59,Axis Equity Saver Fund,1000,500,0.88,₹978Cr,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8
60,Axis Flexi Cap Fund,500,500,0.7,"₹10,077Cr",5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3
61,Axis Floater Fund,1000,5000,0.16,₹416Cr,2,Aditya Pagaria,-,-,-,-,-,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,,
62,Axis Focused 25 Fund,500,500,0.74,"₹15,139Cr",10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9
63,Axis Ftp – Series 104 – 1112Days,0,0,0.13,₹110Cr,4,Devang Shah,7.27,5.29,-,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0
64,Axis Ftp – Series 109 – 111Days,0,0,0.0,₹565Cr,1,Devang Shah,-,-,-,-,-,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0
65,Axis Gilt Fund,1000,5000,0.39,₹133Cr,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9
66,Axis Gold Fund,1000,5000,0.17,₹290Cr,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7
67,Axis Growth Opportunities Fund,1000,500,0.59,"₹8,053Cr",4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,
68,Axis Liquid Fund,0,500,0.15,"₹27,226Cr",10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4
69,Axis Long Term Equity Fund,500,500,0.85,"₹28,754Cr",10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4
70,Axis Midcap Fund,500,500,0.57,"₹18,920Cr",10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8
71,Axis Money Market Fund,1000,5000,0.21,"₹4,002Cr",4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,
72,Axis Nifty 100 Index Fund,1000,500,0.15,₹953Cr,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,
73,Axis Overnight Fund,0,500,0.05,"₹12,566Cr",4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
74,Axis Regular Saver Fund,1000,500,0.86,₹407Cr,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0
75,Axis Retirement Savings Fund,1000,5000,0.6,₹270Cr,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,
76,Axis Retirement Savings Fund,1000,5000,0.41,₹81Cr,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,
77,Axis Retirement Savings Fund,1000,5000,0.65,₹633Cr,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14.0,
78,Axis Short Term Fund,1000,5000,0.3,"₹7,096Cr",10,Devang Shah,2.78,4.6,1.61,1.78,1.38,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4
79,Axis Small Cap Fund,500,500,0.54,"₹11,462Cr",9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4
80,Axis Strategic Bond Fund,1000,5000,0.39,"₹1,644Cr",10,Devang Shah,2.27,2.56,1.89,0.7,1.46,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4
81,Axis Treasury Advantage Fund,1000,5000,0.29,"₹4,614Cr",10,Devang Shah,3.73,3.09,0.87,1.17,1.75,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6
82,Axis Triple Advantage Fund,1000,500,0.72,"₹1,478Cr",10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4
83,Axis Ultra Short Term Fund,1000,5000,0.31,"₹4,491Cr",5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,
84,Bandhan Asset Allocation Fof – Moderate – Direct Growth,100,1000,0.42,₹16Cr,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,5,Bandhan Mutual Fund,0,Other,FoFs Domestic,1.3,12.7,6.9
85,Bandhan Ftp – Sr.179,0,5000,0.05,₹286Cr,4,Harshal Joshi,0.9,9.78,3.98,5.4,0.64,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,6.2,
86,Bank Of India Arbitrage Fund,1000,5000,0.98,₹12Cr,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,1,Bank of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,
87,Bank Of India Balanced Advantage Fund,1000,5000,2.07,₹90Cr,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,6,Bank of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1
88,Bank Of India Conservative Hybrid Fund,1000,5000,0.615,₹63Cr,10,Alok Singh,4.71,6.44,11.85,0.64,0.93,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4
89,Bank Of India Credit Risk Fund,0,5000,1.54,₹161Cr,8,Alok Singh,0.91,-13.36,77.72,-31.86,0.38,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1
90,Bank Of India Large & Mid Cap Equity Fund,1000,5000,1.89,₹204Cr,10,Nitin Gosar,2.66,1.7,15.55,0.88,1.4,6,Bank of India Mutual Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5
91,Bank Of India Liquid Fund,0,5000,0.18,₹403Cr,10,Mithraem Bharucha,4.06,1.38,0.38,0.76,0.92,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3
92,Bank Of India Manufacturing & Infrastr Fund,1000,5000,1.55,₹87Cr,10,Nitin Gosar,3.23,12.2,16.3,0.54,1.8,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5
93,Bank Of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,₹380Cr,7,Alok Singh,2.56,10.87,15.51,0.75,1.59,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4
94,Bank Of India Midcap Tax Fund,0,500,0.95,₹51Cr,5,Dhruv Bhatia,2.64,3.13,17.03,0.87,1.38,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.1,27.1,10.6
95,Bank Of India Midcap Tax Fund,0,500,0.56,₹26Cr,4,Dhruv Bhatia,2.65,2.58,16.94,0.87,1.36,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.7,26.0,
96,Bank Of India Overnight Fund,0,5000,0.17,₹82Cr,3,Mithraem Bharucha,1.92,0.76,0.34,0.47,0.39,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4.0,
97,Bank Of India Short Term Income – Direct Growth,1000,5000,0.98,₹72Cr,10,Mithraem Bharucha,0.76,3.58,11.44,-0.99,0.43,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4.0
98,Bank Of India Small Cap Fund,1000,5000,1.52,₹414Cr,4,Dhruv Bhatia,4.16,8.58,18.44,0.81,1.93,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1.0,47.7,
99,Bank Of India Tax Advantage Fund,500,500,1.31,₹676Cr,10,Alok Singh,2.88,3.48,16.3,0.89,1.5,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29.0,13.2
100,Bank Of India Ultra Short Duration Fund,1000,5000,0.36,₹118Cr,10,Mithraem Bharucha,2.16,2.06,0.52,1.12,1.07,3,Bank of India Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7
101,Baroda Bnp Paribas Aggressive Hybrid Fund,300,5000,0.61,₹772Cr,6,Jitendra Sriram,2.79,1.88,11.77,0.79,1.39,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3
102,Baroda Bnp Paribas Arbitrage Fund,300,5000,0.49,₹354Cr,6,Neeraj Saxena,0.99,1.39,0.71,0.59,0.85,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6
103,Baroda Bnp Paribas Balanced Advantage Fund,500,5000,0.64,"₹3,123Cr",4,Sanjay Chawla,3.41,2.61,10.57,0.7,1.46,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,
104,Baroda Bnp Paribas Banking & Psu Bond Fund,500,5000,0.39,₹40Cr,2,Prashant Pimple,-,-,-,-,-,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,,
105,Baroda Bnp Paribas Banking&Fin Serv Fund,500,5000,1.63,₹69Cr,10,Miten Vora,1.77,-2.87,22.87,0.89,0.82,6,Baroda BNP Paribas Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1
106,Baroda Bnp Paribas Conservative Hybrid Fund,300,1000,0.78,₹501Cr,10,Pratish Krishnan,2.74,0.64,3.7,0.58,1.29,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7
107,Baroda Bnp Paribas Corporate Bond Fund,300,5000,0.32,₹17Cr,10,Mayank Prakash,0.63,0.69,2.22,0.9,0.43,2,Baroda BNP Paribas Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4
108,Baroda Bnp Paribas Credit Risk Fund,500,5000,0.78,₹179Cr,8,Prashant Pimple,1.9,1.72,5.8,-3.29,1.06,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6
109,Baroda Bnp Paribas Dynamic Bond Fund,300,1000,0.71,₹115Cr,10,Mayank Prakash,0.56,0.91,2.65,1.36,0.49,3,Baroda BNP Paribas Mutual Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6
110,Baroda Bnp Paribas Elss Fund,500,500,1.12,₹651Cr,10,Sanjay Chawla,2.92,-0.94,14.42,0.83,1.29,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5
111,Baroda Bnp Paribas Equity Savings Fund,500,5000,1.45,₹250Cr,4,Pratish Krishnan,2.42,0.25,4.91,0.73,1.12,4,Baroda BNP Paribas Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,
112,Baroda Bnp Paribas Focused Fund,300,5000,0.67,₹299Cr,5,Sanjay Chawla,2.96,-1.21,14.73,0.85,1.27,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9
113,Baroda Bnp Paribas Gilt Fund,500,5000,0.14,₹138Cr,10,Mayank Prakash,0.34,0.07,2.89,0.66,0.28,3,Baroda BNP Paribas Mutual Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8
114,Baroda Bnp Paribas India Consumption Fund,300,5000,0.81,₹880Cr,5,Shiv Chanani,3.08,2.41,13.62,0.71,1.38,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,
