,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Sortino,Alpha,Sd,Beta,Sharpe,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr,Score,fund_score,rank,composite_score,Rank
18,Aditya Birla Sl Focused Equity Fund,1000,1000,1.06,"₹5,633Cr",10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,-0.7,10.7,2.7790000000000004,0.24943470651887661,456.0,0.3565842494427472,616.0
19,Aditya Birla Sl Fp Fof – Aggressive – Direct Growth,100,100,0.22,₹159Cr,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,2.5,2.5,10.7,3.6324999999999994,0.28962097082815697,204.0,0.432035734308468,103.0
20,Aditya Birla Sl Fp Fof – Conservative – Direct Growth,100,100,0.34,₹14Cr,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,Fofs Domestic,4.7,4.7,8.2,3.4524999999999997,0.2798322978670285,262.0,0.4169618456702619,193.0
21,Aditya Birla Sl Fp Fof – Moderate – Direct Growth,100,100,0.36,₹28Cr,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,Fofs Domestic,3.7,3.7,9.4,3.4210000000000003,0.2778744763546364,279.0,0.4160925933161718,199.0
22,Aditya Birla Sl Frontline Equity Fund,100,100,1.03,"₹21,131Cr",10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,1.6,10.6,3.1599999999999997,0.26541380336571285,352.0,0.36989222178899867,546.0
23,Aditya Birla Sl Global Emerging Oppt Fund,100,100,0.7,₹261Cr,10,Vinod Narayan Bhat,0.98,1.855,16.64,0.86,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,Fofs Overseas,-5.7,-5.7,8.3,2.091,0.20391778247136808,720.0,0.3345841209412214,711.0
24,Aditya Birla Sl Gold Fund,100,100,0.15,₹278Cr,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,Fofs Domestic,11.8,11.8,13.2,3.4854999999999996,0.2740244600215758,302.0,0.4485628542547135,53.0
25,Aditya Birla Sl Govt Securities Fund,1000,1000,0.29,"₹1,351Cr",10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,3.6,8.0,2.9634999999999994,0.21749457873645592,654.0,0.381760689306434,460.0
26,Aditya Birla Sl Income Fund,1000,5000,0.49,"₹1,496Cr",10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium To Long Duration Funds,3.5,3.5,7.7,3.1115000000000004,0.21452519501094264,674.0,0.368795618668571,555.0
27,Aditya Birla Sl India Gennext Fund,1000,1000,0.82,"₹3,217Cr",10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,4.6,13.3,4.5649999999999995,0.3138673956534146,118.0,0.418025328585119,188.0
28,Aditya Birla Sl Infrastructure Fund,1000,1000,1.7,₹562Cr,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,13.5,9.2,2.9624999999999986,0.2696129460040436,326.0,0.3470581395129147,661.0
29,Aditya Birla Sl Inter Equity – Plan A-Direct Growth,1000,1000,1.75,₹108Cr,10,Vinod Narayan Bhat,1.28,1.855,13.99,0.86,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,0.9,10.4,2.823,0.2146435815382366,670.0,0.29500389535988436,794.0
30,Aditya Birla Sl Inter Equity – Plan B-Direct Growth,1000,1000,0.615,₹90Cr,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,-4.1,7.6,1.2327500000000002,0.21367948339959308,678.0,0.3504836888247587,647.0
31,Aditya Birla Sl Liquid Fund,500,500,0.21,"₹28,071Cr",10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,5.7,5.4,2.66,0.2492940742256623,458.0,0.4019028840826804,278.0
32,Aditya Birla Sl Low Duration Fund,100,100,0.39,"₹10,035Cr",10,Mohit Sharma,4.76,3.33,0.97,1.0,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,5.7,7.0,3.6580000000000004,0.2967182775201444,166.0,0.4241133614485177,144.0
33,Aditya Birla Sl Manufacturing Equity Fund,1000,1000,1.56,₹613Cr,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,-2.9,6.8,1.0639999999999996,0.1876671936239596,765.0,0.2804154892106094,798.0
34,Aditya Birla Sl Medium Term Plan – Direct Growth,1000,1000,0.86,"₹1,652Cr",10,Sunaina Da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,22.1,8.6,4.810499999999999,0.29451465904123025,178.0,0.4188905988759561,179.0
35,Aditya Birla Sl Midcap Fund,1000,1000,1.2,"₹3,436Cr",10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,-3.6,8.3,1.8554999999999997,0.22932835766601897,586.0,0.3274734871289626,734.0
36,Aditya Birla Sl Money Manager Fund,1000,1000,0.21,"₹13,095Cr",10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,3.41,0.28893487906062587,208.0,0.4294167606987227,114.0
37,Aditya Birla Sl Nifty 50 Index Fund,1000,100,0.32,₹494Cr,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,0.7,11.6,3.116,0.2811123988567611,257.0,0.42222682315744386,153.0
38,Aditya Birla Sl Overnight Fund,0,5000,0.07,"₹13,399Cr",4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,5.4,8.9,3.1975000000000002,0.20936540289070052,691.0,0.3932846614651141,367.0
39,Aditya Birla Sl Pure Value Fund,1000,1000,1.12,"₹3,798Cr",10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,3.0,4.3,1.3469999999999995,0.20925108546242885,693.0,0.3199024582948363,750.0
40,Aditya Birla Sl Regular Savings Fund,500,500,0.92,"₹1,585Cr",10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,3.6,7.6,3.9719999999999995,0.2901525364012424,203.0,0.3845389431566809,432.0
41,Aditya Birla Sl Retirement-The 30S Plan-Dir Growth,500,1000,1.06,₹258Cr,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,0.0,8.9,1.194,0.20089890037450492,728.0,0.3293380892055421,728.0
42,Aditya Birla Sl Retirement-The 40S Plan-Dir Growth,500,1000,1.07,₹91Cr,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,-0.1,8.9,1.8429999999999995,0.20887702463311547,695.0,0.33082112092949245,722.0
43,Aditya Birla Sl Retirement-The 50S Plan-Dir Growth,500,1000,0.63,₹27Cr,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,3.0,8.9,2.3899999999999997,0.18735016531362644,766.0,0.34614101712131984,669.0
44,Aditya Birla Sl Retirement-The 50Splus-Debt-Dirgrowth,500,1000,0.85,₹26Cr,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,2.9,8.9,2.6674999999999995,0.18997302514949016,763.0,0.33447080254641937,712.0
45,Aditya Birla Sl Savings Fund,1000,1000,0.34,"₹14,457Cr",10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.5,6.5,3.3720000000000003,0.2838470799931359,239.0,0.41858265160279534,182.0
46,Aditya Birla Sl Short Term Fund,1000,1000,0.38,"₹5,045Cr",10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,5.5,7.6,3.9909999999999997,0.2836154500874709,240.0,0.416254310508252,198.0
47,Aditya Birla Sl Small Cap Fund,1000,1000,1.04,"₹2,901Cr",10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,-2.3,5.4,0.8615000000000002,0.20805448399031354,699.0,0.32068469621160955,748.0
48,Aditya Birla Sl Tax Relief ’96 – Direct Growth,500,500,0.93,"₹12,755Cr",10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Elss Mutual Funds,-3.0,-3.0,5.8,-0.33550000000000013,0.15589990035435336,799.0,0.30139199611243217,781.0
49,Axis All Seasons Debt Fund,1000,5000,0.22,₹161Cr,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,Fofs Domestic,4.7,4.7,8.9,3.6959999999999997,0.2550240915876641,424.0,0.4114816075900544,224.0
50,Axis Arbitrage Fund,1000,500,0.31,"₹3,085Cr",9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,5.6,5.6,2.7325000000000004,0.22734682358846323,599.0,0.3854460164201681,424.0
51,Axis Balanced Advantage Fund,1000,500,0.7,"₹2,077Cr",6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,1.2,1.2,8.0,2.1979999999999995,0.2227002297174601,628.0,0.3590106505284191,606.0
52,Axis Banking & Psu Debt Fund,1000,5000,0.33,"₹13,953Cr",10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking And Psu Mutual Funds,4.5,4.5,7.2,3.5755,0.25272498781750413,433.0,0.39962202332291935,295.0
53,Axis Bluechip Fund,500,500,0.63,"₹33,049Cr",10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,-6.1,12.1,2.3520000000000003,0.22349277850269209,626.0,0.3643381454864171,582.0
54,Axis Children’S Gift Fund,1000,5000,1.06,₹685Cr,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,-6.5,10.1,2.1854999999999993,0.2209208105423861,638.0,0.32926137598669414,729.0
55,Axis Corporate Debt Fund,1000,5000,0.22,"₹3,783Cr",6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,4.9,7.3,3.5404999999999993,0.25974837069352485,388.0,0.410692469529559,227.0
56,Axis Credit Risk Fund,1000,5000,0.81,₹620Cr,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,5.4,6.8,3.5035000000000003,0.25569664104816153,417.0,0.37410789881809003,511.0
57,Axis Dynamic Bond Fund,1000,5000,0.26,"₹1,733Cr",10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,3.4,7.7,2.6434999999999995,0.2092117931788329,694.0,0.3797165876884909,471.0
58,Axis Equity Hybrid Fund,1000,500,0.89,"₹1,699Cr",5,Ashish Naik,2.37,-1.88,13.0,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,-4.9,8.9,2.074,0.2155115679817483,664.0,0.33658427886357495,704.0
59,Axis Equity Saver Fund,1000,500,0.88,₹978Cr,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,1.4,8.8,2.982,0.23789324963087738,522.0,0.3592116204220059,605.0
60,Axis Flexi Cap Fund,500,500,0.7,"₹10,077Cr",5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,-8.3,12.3,2.3889999999999993,0.2203543324272508,640.0,0.35519275131197303,624.0
61,Axis Floater Fund,1000,5000,0.16,₹416Cr,2,Aditya Pagaria,2.87,1.855,12.3,0.86,1.29,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,5.8,8.9,2.9329999999999994,0.27513037764708176,295.0,0.42885937237766936,116.0
62,Axis Focused 25 Fund,500,500,0.74,"₹15,139Cr",10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,-14.7,8.9,-0.04699999999999993,0.15157006064248946,802.0,0.29950314202445194,787.0
63,Axis Ftp – Series 104 – 1112Days,0,0,0.13,₹110Cr,4,Devang Shah,7.27,5.29,12.3,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,11.2,14.0,4.956499999999999,0.4039958098029047,14.0,0.5250702889895013,4.0
64,Axis Ftp – Series 109 – 111Days,0,0,0.0,₹565Cr,1,Devang Shah,2.87,1.855,12.3,0.86,1.29,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,11.2,14.0,4.171,0.3346685083176695,77.0,0.492168372107296,14.0
65,Axis Gilt Fund,1000,5000,0.39,₹133Cr,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,4.0,7.9,3.1170000000000004,0.21916115405443254,643.0,0.37684212240147336,494.0
66,Axis Gold Fund,1000,5000,0.17,₹290Cr,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,Fofs Domestic,14.5,14.5,13.7,4.047999999999999,0.28594578920485825,228.0,0.4595270306353985,39.0
67,Axis Growth Opportunities Fund,1000,500,0.59,"₹8,053Cr",4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,-6.4,8.9,2.6739999999999995,0.24000460357271391,511.0,0.36349046615598746,586.0
68,Axis Liquid Fund,0,500,0.15,"₹27,226Cr",10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,5.7,5.4,2.6285,0.2418580098039578,503.0,0.40124100684605635,282.0
69,Axis Long Term Equity Fund,500,500,0.85,"₹28,754Cr",10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,Elss Mutual Funds,-11.1,-11.1,9.4,0.24799999999999967,0.16246333347867745,792.0,0.30585143501897066,772.0
70,Axis Midcap Fund,500,500,0.57,"₹18,920Cr",10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,-2.5,15.8,4.4825,0.30409620209473476,135.0,0.42543446728466705,135.0
71,Axis Money Market Fund,1000,5000,0.21,"₹4,002Cr",4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,8.9,4.1114999999999995,0.3115928183820052,120.0,0.44741383263404594,57.0
72,Axis Nifty 100 Index Fund,1000,500,0.15,₹953Cr,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,-1.7,8.9,2.126,0.24807339008058663,465.0,0.4044300658985359,259.0
73,Axis Overnight Fund,0,500,0.05,"₹12,566Cr",4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,5.4,8.9,3.37,0.21505214381675655,667.0,0.3977344854857976,314.0
74,Axis Regular Saver Fund,1000,500,0.86,₹407Cr,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,1.8,7.0,2.7790000000000004,0.23210385994488109,566.0,0.35302284715869364,638.0
75,Axis Retirement Savings Fund,1000,5000,0.6,₹270Cr,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,-1.3,8.9,1.3939999999999997,0.20130321010004465,726.0,0.3536922761477485,633.0
76,Axis Retirement Savings Fund,1000,5000,0.41,₹81Cr,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,-2.5,8.9,2.8234999999999997,0.23252012229700167,564.0,0.3769579066701844,493.0
77,Axis Retirement Savings Fund,1000,5000,0.65,₹633Cr,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,-4.1,8.9,1.3509999999999995,0.19606142337074087,743.0,0.34233881597905996,683.0
78,Axis Short Term Fund,1000,5000,0.3,"₹7,096Cr",10,Devang Shah,2.78,4.6,1.61,1.78,1.38,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,4.9,7.4,3.8315,0.26790749651755363,338.0,0.4117084422350224,218.0
79,Axis Small Cap Fund,500,500,0.54,"₹11,462Cr",9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,3.4,19.4,7.8545,0.41614212175246384,10.0,0.5009188370937816,10.0
80,Axis Strategic Bond Fund,1000,5000,0.39,"₹1,644Cr",10,Devang Shah,2.27,2.56,1.89,0.7,1.46,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,5.2,7.4,3.475,0.2593527434968949,393.0,0.4020875299585498,276.0
81,Axis Treasury Advantage Fund,1000,5000,0.29,"₹4,614Cr",10,Devang Shah,3.73,3.09,0.87,1.17,1.75,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.3,6.6,3.4314999999999998,0.2761400854695645,288.0,0.4167949773256112,194.0
82,Axis Triple Advantage Fund,1000,500,0.72,"₹1,478Cr",10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,-5.1,10.4,2.4404999999999997,0.23126390517593365,572.0,0.35870769214136916,607.0
83,Axis Ultra Short Term Fund,1000,5000,0.31,"₹4,491Cr",5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.7,8.9,4.0954999999999995,0.31735263984127005,110.0,0.44589126085958936,59.0
84,Bandhan Asset Allocation Fof – Moderate – Direct Growth,100,1000,0.42,₹16Cr,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,5,Bandhan Mutual Fund,0,Other,Fofs Domestic,1.3,1.3,6.9,2.106,0.2359878492208687,533.0,0.3798129301270673,469.0
85,Bandhan Ftp – Sr.179,0,5000,0.05,₹286Cr,4,Harshal Joshi,0.9,9.78,3.98,5.4,0.64,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,4.4,8.9,4.282499999999999,0.2624457993628328,369.0,0.4271157763506444,126.0
86,Bank Of India Arbitrage Fund,1000,5000,0.98,₹12Cr,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,1,Bank Of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,4.2,8.9,2.607,0.14764779504120162,805.0,0.30106369978453384,783.0
87,Bank Of India Balanced Advantage Fund,1000,5000,2.07,₹90Cr,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,6,Bank Of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation Or Balanced Advantage,13.6,13.6,5.1,1.0995,0.17286827159042886,784.0,0.264582780114597,808.0
